NU_ANO_CENSO|CO_IES|TP_CATEGORIA_ADMINISTRATIVA|TP_ORGANIZACAO_ACADEMICA|CO_CURSO|CO_CURSO_POLO|TP_TURNO|TP_GRAU_ACADEMICO|TP_MODALIDADE_ENSINO|TP_NIVEL_ACADEMICO|CO_CINE_ROTULO|ID_ALUNO|CO_ALUNO_CURSO|CO_ALUNO_CURSO_ORIGEM|TP_COR_RACA|TP_SEXO|NU_ANO_NASCIMENTO|NU_MES_NASCIMENTO|NU_DIA_NASCIMENTO|NU_IDADE|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASCIMENTO|CO_MUNICIPIO_NASCIMENTO|IN_DEFICIENCIA|IN_DEFICIENCIA_AUDITIVA|IN_DEFICIENCIA_FISICA|IN_DEFICIENCIA_INTELECTUAL|IN_DEFICIENCIA_MULTIPLA|IN_DEFICIENCIA_SURDEZ|IN_DEFICIENCIA_SURDOCEGUEIRA|IN_DEFICIENCIA_BAIXA_VISAO|IN_DEFICIENCIA_CEGUEIRA|IN_DEFICIENCIA_SUPERDOTACAO|IN_TGD_AUTISMO|IN_TGD_SINDROME_ASPERGER|IN_TGD_SINDROME_RETT|IN_TGD_TRANSTOR_DESINTEGRATIVO|TP_SITUACAO|QT_CARGA_HORARIA_TOTAL|QT_CARGA_HORARIA_INTEG|DT_INGRESSO_CURSO|IN_INGRESSO_VESTIBULAR|IN_INGRESSO_ENEM|IN_INGRESSO_AVALIACAO_SERIADA|IN_INGRESSO_SELECAO_SIMPLIFICA|IN_INGRESSO_OUTRO_TIPO_SELECAO|IN_INGRESSO_VAGA_REMANESC|IN_INGRESSO_VAGA_PROG_ESPECIAL|IN_INGRESSO_TRANSF_EXOFFICIO|IN_INGRESSO_DECISAO_JUDICIAL|IN_INGRESSO_CONVENIO_PECG|IN_INGRESSO_EGRESSO|IN_INGRESSO_OUTRA_FORMA|IN_RESERVA_VAGAS|IN_RESERVA_ETNICO|IN_RESERVA_DEFICIENCIA|IN_RESERVA_ENSINO_PUBLICO|IN_RESERVA_RENDA_FAMILIAR|IN_RESERVA_OUTRA|IN_FINANCIAMENTO_ESTUDANTIL|IN_FIN_REEMB_FIES|IN_FIN_REEMB_ESTADUAL|IN_FIN_REEMB_MUNICIPAL|IN_FIN_REEMB_PROG_IES|IN_FIN_REEMB_ENT_EXTERNA|IN_FIN_REEMB_OUTRA|IN_FIN_NAOREEMB_PROUNI_INTEGR|IN_FIN_NAOREEMB_PROUNI_PARCIAL|IN_FIN_NAOREEMB_ESTADUAL|IN_FIN_NAOREEMB_MUNICIPAL|IN_FIN_NAOREEMB_PROG_IES|IN_FIN_NAOREEMB_ENT_EXTERNA|IN_FIN_NAOREEMB_OUTRA|IN_APOIO_SOCIAL|IN_APOIO_ALIMENTACAO|IN_APOIO_BOLSA_PERMANENCIA|IN_APOIO_BOLSA_TRABALHO|IN_APOIO_MATERIAL_DIDATICO|IN_APOIO_MORADIA|IN_APOIO_TRANSPORTE|IN_ATIVIDADE_EXTRACURRICULAR|IN_COMPLEMENTAR_ESTAGIO|IN_COMPLEMENTAR_EXTENSAO|IN_COMPLEMENTAR_MONITORIA|IN_COMPLEMENTAR_PESQUISA|IN_BOLSA_ESTAGIO|IN_BOLSA_EXTENSAO|IN_BOLSA_MONITORIA|IN_BOLSA_PESQUISA|TP_ESCOLA_CONCLUSAO_ENS_MEDIO|IN_ALUNO_PARFOR|TP_SEMESTRE_CONCLUSAO|TP_SEMESTRE_REFERENCIA|IN_MOBILIDADE_ACADEMICA|TP_MOBILIDADE_ACADEMICA|TP_MOBILIDADE_ACADEMICA_INTERN|CO_IES_DESTINO|CO_PAIS_DESTINO|IN_MATRICULA|IN_CONCLUINTE|IN_INGRESSO_TOTAL|IN_INGRESSO_VAGA_NOVA|IN_INGRESSO_PROCESSO_SELETIVO|NU_ANO_INGRESSO
2018|3188|1|4|1102802||4|1|1|1|0811E01|31CC6EBF8B1393006E9F2B6745B705FA|2853529||1|1|1997|8|18|21|1|76|31|3135209|0||||||||||||||3|3816|100|01JUL2017:00:00:00|0|0|0|0||1|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||0|0|0|0||2017
2018|3188|1|4|1102802||4|1|1|1|0811E01|8428FBD6F9C8CF4EC4C8A2059D8F6C79|2753067||3|2|1998|11|25|20|1|76|31|3135209|0||||||||||||||2|3816|183|01JAN2017:00:00:00|1|0|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2017
2018|3188|1|4|1102802||4|1|1|1|0811E01|01C7F0CEA73D04D43A7067D9893517F9|3970516||1|1|1997|5|13|21|1|76|31|3143302|0||||||||||||||2|3816|1050|01JAN2016:00:00:00|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2016
2018|3188|1|4|1102802||4|1|1|1|0811E01|424BA96D0D8DED86D49100BEACBD28CF|4067931||3|2|1998|3|19|20|1|76|31|3117836|0||||||||||||||2|3817|766|01JAN2017:00:00:00|0|0|0|0||1|0|0|0|0|0||0||||||||||||||||||||0|||||||1|0|1|0|0||0|||1|||2|0|||||1|0|0|0||2017
2018|3188|1|4|1102802||4|1|1|1|0811E01|2A470FE4EA83EAAEDCE5E2108113CE11|3681330||3|1|1991|1|12|27|1|76|31|3135209|0||||||||||||||2|3816|233|01JAN2016:00:00:00|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2016
2018|3188|1|4|1102802||4|1|1|1|0811E01|E6A2BE4BB1DFD25F85F1B00A0FA7743D|3875674||1|2|1998|6|26|20|1|76|31|3135209|0||||||||||||||2|3816|133|01JAN2016:00:00:00|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2016
2018|3188|1|4|1102802||4|1|1|1|0811E01|776DAD8AC749DE7E9B80B96310C1652C|4453320||3|1|1996|10|31|22|1|76|31|3135209|0||||||||||||||5|3816|550|01JAN2016:00:00:00|0|0|0|0||1|0|0|0|0|0||1|0|0|1|0|0|||||||||||||||0|||||||0|||||||||1|||2|0|||||0|0|0|0||2016
2018|3188|1|4|1102802||4|1|1|1|0811E01|308BD6C71A5DF555F13DBB3C83B466D6|3393584||1|2|1997|10|20|21|1|76|33|3303302|9||||||||||||||2|3816|2050|01JAN2016:00:00:00|0|0|0|0||1|0|0|0|0|0||1|0|0|0|1|0|||||||||||||||0|||||||1|0|1|1|1||1|0|0|1|||2|0|||||1|0|0|0||2016
2018|3188|1|4|1102802||4|1|1|1|0811E01|4B00F740A28A5D538FDC2C3030E81C6C|3489551||3|1|1994|9|12|24|1|76|31|3106200|9||||||||||||||2|3816|1300|01JAN2016:00:00:00|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2016
2018|3188|1|4|1102802||4|1|1|1|0811E01|F8587B309272724E38AE79EEA4AF8BB2|2798498||3|1|1998|2|5|20|1|76|31|3135209|9||||||||||||||2|3816|1066|01JAN2016:00:00:00|0|0|0|0||1|0|0|0|0|0||1|0|0|0|1|0|||||||||||||||0|||||||1|0|0|0|1||||1|1|||2|0|||||1|0|0|0||2016
2018|3188|1|4|1102802||4|1|1|1|0811E01|51CF0C4235EDA485442726B24C7BA2AC|3778649||3|1|1998|4|30|20|1|76|31|3135209|9||||||||||||||2|3816|1416|01JAN2016:00:00:00|0|0|0|0||1|0|0|0|0|0||1|1|0|0|0|0|||||||||||||||0|||||||1|0|0|0|1||||0|1|||2|0|||||1|0|0|0||2016
