NU_ANO_CENSO|CO_IES|TP_CATEGORIA_ADMINISTRATIVA|TP_ORGANIZACAO_ACADEMICA|CO_CURSO|CO_CURSO_POLO|TP_TURNO|TP_GRAU_ACADEMICO|TP_MODALIDADE_ENSINO|TP_NIVEL_ACADEMICO|CO_OCDE_AREA_GERAL|CO_OCDE_AREA_ESPECIFICA|CO_OCDE_AREA_DETALHADA|CO_OCDE|CO_ALUNO|CO_ALUNO_CURSO|CO_ALUNO_CURSO_ORIGEM|TP_COR_RACA|TP_SEXO|NU_ANO_NASCIMENTO|NU_MES_NASCIMENTO|NU_DIA_NASCIMENTO|NU_IDADE|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASCIMENTO|CO_MUNICIPIO_NASCIMENTO|TP_DEFICIENCIA|IN_DEFICIENCIA_AUDITIVA|IN_DEFICIENCIA_FISICA|IN_DEFICIENCIA_INTELECTUAL|IN_DEFICIENCIA_MULTIPLA|IN_DEFICIENCIA_SURDEZ|IN_DEFICIENCIA_SURDOCEGUEIRA|IN_DEFICIENCIA_BAIXA_VISAO|IN_DEFICIENCIA_CEGUEIRA|IN_DEFICIENCIA_SUPERDOTACAO|IN_TGD_AUTISMO_INFANTIL|IN_TGD_SINDROME_ASPERGER|IN_TGD_SINDROME_RETT|IN_TGD_TRANSTOR_DESINTEGRATIVO|TP_SITUACAO|QT_CARGA_HORARIA_TOTAL|QT_CARGA_HORARIA_INTEG|DT_INGRESSO_CURSO|IN_INGRESSO_VESTIBULAR|IN_INGRESSO_ENEM|IN_INGRESSO_AVALIACAO_SERIADA|IN_INGRESSO_SELECAO_SIMPLIFICA|IN_INGRESSO_OUTRO_TIPO_SELECAO|IN_INGRESSO_VAGA_REMANESC|IN_INGRESSO_VAGA_PROG_ESPECIAL|IN_INGRESSO_TRANSF_EXOFFICIO|IN_INGRESSO_DECISAO_JUDICIAL|IN_INGRESSO_CONVENIO_PECG|IN_INGRESSO_EGRESSO|IN_INGRESSO_OUTRA_FORMA|IN_RESERVA_VAGAS|IN_RESERVA_ETNICO|IN_RESERVA_DEFICIENCIA|IN_RESERVA_ENSINO_PUBLICO|IN_RESERVA_RENDA_FAMILIAR|IN_RESERVA_OUTRA|IN_FINANCIAMENTO_ESTUDANTIL|IN_FIN_REEMB_FIES|IN_FIN_REEMB_ESTADUAL|IN_FIN_REEMB_MUNICIPAL|IN_FIN_REEMB_PROG_IES|IN_FIN_REEMB_ENT_EXTERNA|IN_FIN_REEMB_OUTRA|IN_FIN_NAOREEMB_PROUNI_INTEGR|IN_FIN_NAOREEMB_PROUNI_PARCIAL|IN_FIN_NAOREEMB_ESTADUAL|IN_FIN_NAOREEMB_MUNICIPAL|IN_FIN_NAOREEMB_PROG_IES|IN_FIN_NAOREEMB_ENT_EXTERNA|IN_FIN_NAOREEMB_OUTRA|IN_APOIO_SOCIAL|IN_APOIO_ALIMENTACAO|IN_APOIO_BOLSA_PERMANENCIA|IN_APOIO_BOLSA_TRABALHO|IN_APOIO_MATERIAL_DIDATICO|IN_APOIO_MORADIA|IN_APOIO_TRANSPORTE|IN_ATIVIDADE_EXTRACURRICULAR|IN_COMPLEMENTAR_ESTAGIO|IN_COMPLEMENTAR_EXTENSAO|IN_COMPLEMENTAR_MONITORIA|IN_COMPLEMENTAR_PESQUISA|IN_BOLSA_ESTAGIO|IN_BOLSA_EXTENSAO|IN_BOLSA_MONITORIA|IN_BOLSA_PESQUISA|TP_ESCOLA_CONCLUSAO_ENS_MEDIO|IN_ALUNO_PARFOR|TP_SEMESTRE_CONCLUSAO|TP_SEMESTRE_REFERENCIA|IN_MOBILIDADE_ACADEMICA|TP_MOBILIDADE_ACADEMICA|TP_MOBILIDADE_ACADEMICA_INTERN|CO_IES_DESTINO|CO_PAIS_DESTINO|IN_MATRICULA|IN_CONCLUINTE|IN_INGRESSO_TOTAL|IN_INGRESSO_VAGA_NOVA|IN_INGRESSO_PROCESSO_SELETIVO|NU_ANO_INGRESSO
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400015816840|2575732||2|2|1992|9|17|25|1|76|31|3135209|0||||||||||||||2|2500|160|01/07/2015|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||1|0|1|0|0|0|0|0|||||||||1|||2|0|||||1|0|0|0||2015
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016488950|2933844||9|2|1995|7|25|22|1|76|31|3135209|0||||||||||||||2|2500|2400|01/07/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||1|0|1|0|0||0|||1|||2|0|||||1|0|0|0||2013
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016724739|3025470||3|2|1994|1|20|23|1|76|31|3135209|9||||||||||||||2|2500|960|01/07/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2013
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016902840|3118967||2|2|1992|6|21|25|1|76|31|3135209|9||||||||||||||2|2500|2320|01/07/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||1|0|1|0|0||1|||1|||2|0|||||1|0|0|0||2013
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016906858|3121381||3|1|1995|4|4|22|1|76|31|3135209|9||||||||||||||2|2500|2160|01/07/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2013
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016907515|3121766||3|2|1988|6|8|29|1|76|31|3168002|9||||||||||||||2|2500|1800|01/07/2015|0|0|0|0||1|0|0|0|0|0||0||||||||||||||||||||0|||||||1|0|1|0|0||0|||1|||2|0|||||1|0|0|0||2015
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016907546|3121783||3|2|1995|5|14|22|1|76|31|3108255|9||||||||||||||2|2500|2400|01/07/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2013
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016910357|3122841||3|2|1995|5|21|22|1|76|||9||||||||||||||3|2500|1280|01/07/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||0|0|0|0||2013
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016910453|3122896||3|2|1995|1|5|22|1|76|31|3135209|9||||||||||||||4|2500|560|01/07/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||0|0|0|0||2013
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016924951|3129349||1|2|1995|8|9|22|1|76|31|3143302|9||||||||||||||6|2500|2500|01/01/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1||1|2|0|||||1|1|0|0||2013
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016925431|3129569||3|2|1985|9|22|32|1|76|35|3550308|9||||||||||||||2|2500|2400|01/01/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2013
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016926497|3130261||1|2|1992|8|15|25|1|76|31|3172004|9||||||||||||||2|2500|2400|01/01/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||1|0|1|0|1||0||0|1|||2|0|||||1|0|0|0||2013
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016926644|3130318||3|2|1995|3|13|22|1|76|31|3135209|0||||||||||||||2|2500|840|01/01/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2013
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016926860|3130367||3|2|1994|2|4|23|1|76|31|3143302|9||||||||||||||2|2500|880|01/01/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2013
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016931207|3132721||2|2|1994|5|1|23|1|76|31|3135209|9||||||||||||||2|2500|1966|01/01/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2013
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016931903|3133224||2|1|1991|4|21|26|1|76|31|3135209|9||||||||||||||2|2500|2133|01/01/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2013
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400016932109|3133343||3|1|1984|10|15|33|1|76|31|3135209|9||||||||||||||2|2500|1160|01/01/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2013
