CO_CURSO,TP_GRAU_ACADEMICO,TP_SITUACAO,IN_DEFICIENCIA,IN_RESERVA_VAGAS,TP_SEXO,TP_COR_RACA,NU_ANO_NASCIMENTO,NU_DIA_NASCIMENTO,NU_MES_NASCIMENTO,NU_IDADE,NU_ANO_INGRESSO,NU_ANO_CENSO,CO_MUNICIPIO_NASCIMENTO,Id
107474,1,2,0,0,1,6,1974,29,11,35,2008,2009,null,1005
107474,1,2,0,0,1,6,1978,26,9,31,2008,2009,null,1039
107474,1,2,0,0,1,6,1990,21,12,19,2008,2009,null,3090
99503,2,2,0,0,1,6,1983,10,4,26,2007,2009,null,1097
107474,1,2,0,0,1,6,1986,14,8,23,2008,2009,null,1045
99503,2,2,0,0,1,6,1983,2,11,26,2007,2009,null,3091
96981,3,2,0,0,0,6,1987,8,1,22,2007,2009,null,822
99503,2,2,0,0,0,6,1986,17,4,23,2007,2009,null,2830
107474,1,2,0,0,1,6,1990,1,5,19,2008,2009,null,1208
99503,2,2,0,0,0,6,1985,23,12,24,2007,2009,null,3092
107474,1,2,0,0,0,6,1988,17,2,21,2008,2009,null,3093
107474,1,2,0,0,1,6,1990,9,4,19,2008,2009,null,2470
99503,2,2,0,0,0,6,1983,22,1,26,2007,2009,null,2237
96981,3,2,0,0,1,6,1982,2,10,27,2007,2009,null,3094
107474,1,2,0,0,0,6,1985,23,3,24,2008,2009,null,791
99503,2,2,0,0,0,6,1981,28,10,28,2007,2009,null,825
107474,1,3,0,0,1,6,1979,28,9,30,2008,2009,null,692
99503,2,2,0,0,1,6,1972,8,6,37,2007,2009,null,1087
99503,2,2,0,0,0,6,1977,24,7,32,2007,2009,null,1154
99503,2,2,0,0,1,6,1985,27,6,24,2007,2009,null,3095
99503,2,2,0,0,0,6,1983,20,11,26,2007,2009,null,3096
96981,3,2,0,0,0,6,1988,30,6,21,2007,2009,null,1207
96981,3,2,0,0,0,6,1989,19,5,20,2007,2009,null,876
96981,3,2,0,0,0,6,1988,30,6,21,2007,2009,null,1116
99503,2,3,0,0,1,6,1986,19,5,23,2007,2009,null,2833
107474,1,2,0,0,1,6,1983,4,6,26,2008,2009,null,1611
99503,2,3,0,0,0,6,1979,24,3,30,2007,2009,null,1558
96981,3,2,0,0,1,6,1984,30,10,25,2007,2009,null,1523
99503,2,2,0,0,1,6,1977,19,10,32,2008,2009,null,1751
107474,1,2,0,0,1,6,1988,14,11,21,2007,2009,null,1749
107474,1,2,0,0,1,6,1989,22,2,20,2007,2009,null,2240
96981,3,2,0,0,1,6,1989,14,2,20,2007,2009,null,2063
107474,1,2,0,0,0,6,1982,13,10,27,2007,2009,null,2513
107474,1,2,0,0,1,6,1986,10,9,23,2007,2009,null,3100
96981,3,4,0,0,0,6,1980,12,4,29,2007,2009,null,1941
107474,1,2,0,0,0,6,1988,8,3,21,2007,2009,null,1940
107474,1,2,0,0,0,6,1986,10,6,23,2007,2009,null,3101
107474,1,2,0,0,1,6,1984,25,8,25,2007,2009,null,1955
99503,2,2,0,0,0,6,1974,16,8,35,2007,2009,null,1952
107474,1,2,0,0,0,6,1965,21,6,44,2007,2009,null,1957
96981,3,4,0,0,1,6,1988,1,11,21,2007,2009,null,2836
96981,3,4,0,0,1,6,1988,15,9,21,2008,2009,null,1963
96981,3,2,0,0,0,6,1980,20,5,29,2006,2009,null,1965
107474,1,2,0,0,0,6,1988,24,1,21,2007,2009,null,2244
107474,1,2,0,0,1,6,1986,14,10,23,2007,2009,null,2245
107474,1,2,0,0,1,6,1984,27,7,25,2007,2009,null,2247
96981,3,4,0,0,0,6,1988,24,6,21,2007,2009,null,2250
96981,3,4,0,0,1,0,1989,21,10,20,2008,2009,null,2254
107474,1,2,0,0,0,0,1984,16,12,25,2007,2009,null,2255
96981,3,4,0,0,1,6,1988,15,10,21,2008,2009,null,2257
107474,1,2,0,0,1,6,1986,14,6,23,2007,2009,null,2262
107474,1,2,0,0,1,6,1984,3,12,25,2007,2009,null,2837
107474,1,2,0,0,1,6,1985,16,10,24,2007,2009,null,2922
