CO_CURSO,TP_GRAU_ACADEMICO,TP_SITUACAO,IN_DEFICIENCIA,IN_RESERVA_VAGAS,TP_SEXO,TP_COR_RACA,NU_ANO_NASCIMENTO,NU_DIA_NASCIMENTO,NU_MES_NASCIMENTO,NU_IDADE,NU_ANO_INGRESSO,NU_ANO_CENSO,CO_MUNICIPIO_NASCIMENTO
107476,1,3,0,0,0,6,1980,8,11,29,2008,2009,null
107476,1,2,0,0,1,6,1989,6,9,20,2009,2009,null
107476,1,2,0,0,1,6,1990,24,5,19,2008,2009,null
107476,1,2,0,0,0,6,1988,26,8,21,2008,2009,null
96981,3,6,0,0,0,6,1982,4,2,27,2006,2009,null
96981,3,6,0,0,0,6,1986,2,11,23,2006,2009,null
107476,1,2,0,0,0,6,1976,6,11,33,2008,2009,null
107476,1,2,0,0,1,6,1988,3,1,21,2008,2009,null
107476,1,2,0,0,0,6,1978,25,6,31,2008,2009,null
107476,1,2,0,0,0,6,1990,1,12,19,2008,2009,null
96981,3,6,0,0,0,6,1987,28,12,22,2006,2009,null
96981,3,6,0,0,0,6,1984,30,7,25,2006,2009,null
96981,3,6,0,0,0,6,1981,3,5,28,2006,2009,null
107476,1,2,0,0,1,6,1986,2,7,23,2008,2009,null
96981,3,6,0,0,0,6,1987,15,12,22,2006,2009,null
96981,3,6,0,0,1,6,1984,26,2,25,2006,2009,null
107476,1,2,0,0,1,6,1989,25,11,20,2008,2009,null
107476,1,2,0,0,0,6,1989,4,11,20,2008,2009,null
107476,1,2,0,0,0,6,1979,12,8,30,2008,2009,null
96981,3,6,0,0,0,6,1983,7,11,26,2006,2009,null
107476,1,2,0,0,1,6,1988,9,7,21,2008,2009,null
96981,3,6,0,0,0,6,1985,13,6,24,2006,2009,null
107476,1,2,0,0,1,6,1987,5,2,22,2008,2009,null
96981,3,6,0,0,1,6,1987,19,8,22,2006,2009,null
107476,1,2,0,0,0,6,1989,8,5,20,2008,2009,null
107476,1,2,0,0,0,6,1986,22,3,23,2008,2009,null
107476,1,2,0,0,0,6,1990,30,11,19,2008,2009,null
96981,3,6,0,0,1,6,1971,21,2,38,2006,2009,null
96981,3,6,0,0,0,6,1987,7,10,22,2006,2009,null
96981,3,6,0,0,0,6,1988,15,12,21,2006,2009,null
96981,3,6,0,0,0,6,1981,3,11,28,2006,2009,null
107476,1,2,0,0,0,6,1990,6,11,19,2009,2009,null
107476,1,2,0,0,0,6,1991,2,12,18,2009,2009,null
107476,1,2,0,0,1,6,1990,3,1,19,2009,2009,null
112692,2,4,0,0,0,6,1988,7,1,21,2008,2009,null
112692,2,4,0,0,1,6,1972,6,4,37,2008,2009,null
107476,1,4,0,0,1,6,1983,12,6,26,2009,2009,null
112692,2,2,0,0,1,6,1989,12,4,20,2008,2009,null
107476,1,2,0,0,1,6,1988,12,5,21,2009,2009,null
112692,2,4,0,0,1,6,1988,10,11,21,2008,2009,null
107476,1,4,0,0,1,6,1990,23,12,19,2009,2009,null
96981,3,2,0,0,1,6,1990,23,12,19,2009,2009,null
107476,1,2,0,0,0,6,1989,2,6,20,2009,2009,null
107476,1,3,0,0,1,6,1985,16,5,24,2009,2009,null
107476,1,3,0,0,0,6,1991,27,7,18,2009,2009,null
112692,2,2,0,0,1,6,1990,15,3,19,2008,2009,null
107476,1,2,0,0,0,6,1989,3,11,20,2009,2009,null
107476,1,2,0,0,0,6,1981,5,10,28,2009,2009,null
107476,1,2,0,0,1,6,1990,14,5,19,2009,2009,null
112692,2,2,0,0,1,6,1990,30,7,19,2008,2009,null
107476,1,2,0,0,1,6,1988,13,7,21,2009,2009,null
107476,1,2,0,0,1,6,1989,7,1,20,2009,2009,null
112692,2,2,0,0,0,6,1990,15,3,19,2008,2009,null
112692,2,2,0,0,0,6,1987,17,9,22,2008,2009,null
96981,3,6,0,0,0,6,1981,1,9,28,2006,2009,null
107476,1,2,0,0,1,6,1987,25,8,22,2009,2009,null
96981,3,2,0,0,0,6,1988,28,5,21,2006,2009,null
107476,1,3,0,0,0,6,1984,28,6,25,2009,2009,null
96981,3,4,0,0,0,6,1969,14,11,40,2006,2009,null
96981,3,6,0,0,0,6,1984,20,11,25,2006,2009,null
107476,1,2,0,0,1,6,1991,8,2,18,2009,2009,null
107476,1,2,0,0,0,6,1988,16,4,21,2009,2009,null
112692,2,2,0,0,1,6,1989,28,12,20,2008,2009,null
99503,2,4,0,0,1,6,1984,10,6,25,2007,2009,null
96981,3,2,0,0,0,6,1989,6,2,20,2007,2009,null
99503,2,2,0,0,0,6,1983,27,1,26,2007,2009,null
